"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2022/01/06 7:30:18 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
"2022/01/06 7:33:32 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Education","Undergraduate","3.50 – 4.00","2500 +","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Unhappy","Happy","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Disagree","Disagree","Strongly Disagree","Neutral"
"2022/01/06 7:39:06 ÖS GMT+2","Female","22 - 25","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Happy","Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Neutral","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Strongly Agree"
"2022/01/06 7:42:54 ÖS GMT+2","Male","22 - 25","EEE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Disagree","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Disagree","Neutral","Strongly Agree"
"2022/01/06 8:03:30 ÖS GMT+2","Female","22 - 25","Ee","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree"
"2022/01/06 8:09:08 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2000 – 2499","Moderately Happy","Happy","Happy","Very Unhappy","Happy","Verry Happy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral"
"2022/01/06 8:12:44 ÖS GMT+2","Female","18 - 21","MHED","Faculty of Education","Undergraduate","Pass the question","0.00 – 999","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Agree","Agree","Neutral","Disagree"
"2022/01/06 11:03:19 ÖS GMT+2","Female","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Verry Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Neutral","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Neutral"
"2022/01/07 11:26:06 ÖÖ GMT+2","Female","18 - 21","EE ","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Happy","Happy","Moderately Happy","Happy","Very Unhappy","Happy","Happy","Moderately Happy","Happy","Unhappy","Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Strongly Disagree"
"2022/01/07 12:19:49 ÖS GMT+2","Male","22 - 25","phys","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1000 – 1499","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","","Moderately Happy","Happy","Moderately Happy","Neutral","Agree","Agree","Disagree","Neutral","Disagree","Agree","Disagree","Neutral","Neutral"
"2022/01/07 2:26:41 ÖS GMT+2","Female","18 - 21","Phys","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Very Unhappy","Moderately Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Neutral"
"2022/01/07 5:29:41 ÖS GMT+2","Male","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2500 +","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Neutral","Disagree","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Neutral"
"2022/01/08 11:38:07 ÖÖ GMT+2","Male","22 - 25","CEIT","Faculty of Education","Undergraduate","3.50 – 4.00","2500 +","Very Happy","Moderately Happy","Moderately Happy","Happy","Verry Happy","Very Unhappy","Verry Happy","Verry Happy","Very Unhappy","Moderately Happy","Unhappy","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Agree","Strongly Disagree"
"2022/01/08 11:38:33 ÖÖ GMT+2","Male","18 - 21","CEIT","Faculty of Education","Undergraduate","3.50 – 4.00","1500 – 1999","Moderately Happy","Happy","Unhappy","Happy","Happy","Very Unhappy","Happy","Verry Happy","Very Unhappy","Moderately Happy","Unhappy","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Agree"
"2022/01/08 11:39:50 ÖÖ GMT+2","Male","18 - 21","METE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Happy","Very Unhappy","Unhappy","Unhappy;Moderately Happy","Strongly Agree","Neutral","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Agree"
"2022/01/08 11:40:14 ÖÖ GMT+2","Female","18 - 21","Psychology ","Faculty of Arts and Sciences","Preparation","Pass the question","1000 – 1499","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Verry Happy","Happy","Very Unhappy","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree"
"2022/01/08 11:42:38 ÖÖ GMT+2","Female","18 - 21","Fle","Faculty of Education","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Unhappy","Happy","Moderately Happy","Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Neutral"
"2022/01/08 11:52:27 ÖÖ GMT+2","Female","18 - 21","GENE","","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Agree","Agree","Neutral","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Neutral","Disagree"
"2022/01/08 12:04:09 ÖS GMT+2","Female","18 - 21","Phil","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1000 – 1499","Moderately Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy;Verry Happy","Unhappy","Moderately Happy","Unhappy","Agree","Strongly Agree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Neutral","Strongly Disagree","Agree"
"2022/01/08 12:14:59 ÖS GMT+2","Male","18 - 21","CEIT","Faculty of Education","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Verry Happy","Unhappy","Neutral","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Agree","Neutral"
"2022/01/08 1:04:46 ÖS GMT+2","Female","22 - 25","mete","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Verry Happy","Unhappy","Happy","Verry Happy","Happy","Moderately Happy","Very Unhappy","Agree","Agree","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Agree","Strongly Agree","Neutral"
"2022/01/08 1:38:46 ÖS GMT+2","Female","18 - 21","Department of Chemistry","Faculty of Arts and Sciences","Undergraduate","Pass the question","1500 – 1999","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Agree"
"2022/01/08 1:42:21 ÖS GMT+2","Female","22 - 25","Ce","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral"
"2022/01/08 1:42:23 ÖS GMT+2","Female","22 - 25","CE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Happy","Happy","Unhappy","Moderately Happy","Unhappy","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Neutral"
"2022/01/08 1:58:29 ÖS GMT+2","Male","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Happy","Unhappy","Unhappy","Strongly Agree","Agree","Neutral","Agree","Neutral","Strongly Disagree","Agree","Strongly Agree","Agree","Disagree"
"2022/01/08 4:34:18 ÖS GMT+2","Female","18 - 21","hist","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Happy","Verry Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Disagree","Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree"
"2022/01/08 4:39:32 ÖS GMT+2","Male","25 +","EEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Very Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Neutral","Neutral","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Neutral"
"2022/01/08 4:48:08 ÖS GMT+2","Male","18 - 21","FDE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Happy","Very Unhappy","Moderately Happy","Happy","Unhappy","Moderately Happy","Happy","Unhappy","Happy","Very Unhappy","Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree"
"2022/01/08 4:50:02 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Happy","Neutral","Disagree","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Neutral"
"2022/01/08 4:52:38 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","1.00 – 1.99","1000 – 1499","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Happy","Very Unhappy","Moderately Happy","Very Unhappy","Strongly Agree","Agree","Neutral","Agree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Agree"
"2022/01/08 4:57:33 ÖS GMT+2","Female","18 - 21","EME","Faculty of Education","Undergraduate","2.50 – 2.99","1000 – 1499","Happy","Moderately Happy","Happy","Unhappy","Happy","Happy","Happy","Happy","Verry Happy","Happy","Moderately Happy","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree"
"2022/01/08 4:59:47 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2000 – 2499","Moderately Happy","Happy","Happy","Happy","Happy","Very Unhappy","Happy","Moderately Happy;Happy","Very Unhappy","Happy","Unhappy","Agree","Strongly Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Disagree"
"2022/01/08 5:06:32 ÖS GMT+2","Male","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Neutral","Disagree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Disagree"
"2022/01/08 5:30:51 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Graduate","1.00 – 1.99","0.00 – 999","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral"
"2022/01/08 7:18:34 ÖS GMT+2","Male","18 - 21","PHED","Faculty of Education","Undergraduate","2.00 – 2.49","1000 – 1499","Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Disagree"
"2022/01/08 8:31:21 ÖS GMT+2","Female","18 - 21","EME","Faculty of Education","Undergraduate","2.00 – 2.49","0.00 – 999","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Very Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Strongly Agree","Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree"
"2022/01/08 8:46:05 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","1.00 – 1.99","0.00 – 999","Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Strongly Agree","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Disagree","Neutral"
"2022/01/08 9:16:57 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","1.00 – 1.99","2500 +","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Happy","Happy","Happy","Unhappy","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Strongly Disagree"
"2022/01/08 9:35:11 ÖS GMT+2","Female","22 - 25","Elementary mathematics education ","Faculty of Education","Undergraduate","3.00 – 3.49","0.00 – 999","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Happy","Verry Happy","Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Agree","Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree"
"2022/01/09 5:35:01 ÖÖ GMT+2","Female","18 - 21","econ","Faculty of Economic and Administrative Sciences","Undergraduate","2.00 – 2.49","2000 – 2499","Unhappy","Moderately Happy","Happy","Happy","Happy","Very Unhappy","Moderately Happy","Unhappy","Happy","Moderately Happy","Unhappy","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Agree","Disagree"
"2022/01/09 5:37:52 ÖÖ GMT+2","Female","22 - 25","phys","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Verry Happy","Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Moderately Happy","Happy","Verry Happy","Verry Happy","Unhappy","Disagree","Agree","Strongly Agree","Neutral","Disagree","Disagree","Agree","Strongly Agree","Agree","Disagree"
"2022/01/09 7:45:04 ÖÖ GMT+2","Male","18 - 21","Ee","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Neutral","Agree","Neutral","Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Disagree"
"2022/01/09 9:13:21 ÖÖ GMT+2","Male","22 - 25","","Faculty of Education","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Disagree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree"
"2022/01/09 10:04:26 ÖÖ GMT+2","Male","18 - 21","fle","Faculty of Education","Undergraduate","Pass the question","1000 – 1499","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Happy","Unhappy","Very Unhappy","Strongly Agree","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree"
"2022/01/09 11:16:27 ÖÖ GMT+2","Female","18 - 21","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2000 – 2499","Happy","Happy","Verry Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Verry Happy","Moderately Happy","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Disagree","Strongly Disagree","Neutral"
"2022/01/09 11:55:28 ÖÖ GMT+2","Male","22 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Happy","Happy","Moderately Happy","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Disagree","Agree","Agree","Neutral"
"2022/01/09 11:56:08 ÖÖ GMT+2","Female","22 - 25","Eme","Faculty of Education","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Unhappy","Verry Happy","Moderately Happy","Happy","Happy","Happy","Happy","Verry Happy","Happy","Verry Happy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree"
"2022/01/09 11:57:08 ÖÖ GMT+2","Female","18 - 21","Hist","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Moderately Happy","Happy","Unhappy","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Agree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral"
"2022/01/09 11:59:43 ÖÖ GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1000 – 1499","Moderately Happy","Happy","Unhappy","Verry Happy","Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Disagree"
"2022/01/09 12:03:23 ÖS GMT+2","Female","22 - 25","ESE","Faculty of Education","Preparation","1.00 – 1.99","0.00 – 999","Moderately Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Neutral","Neutral"
"2022/01/09 12:04:30 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Very Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Agree","Disagree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Neutral"
"2022/01/09 12:05:43 ÖS GMT+2","Female","","Psy","Faculty of Arts and Sciences","Preparation","Pass the question","2500 +","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"2022/01/09 12:09:11 ÖS GMT+2","Male","18 - 21","METE","Faculty of Engineering","Graduate","3.00 – 3.49","0.00 – 999","Moderately Happy","Happy","Happy","Happy","Happy","Unhappy","Happy","Happy","Moderately Happy","Verry Happy","Unhappy","Neutral","Neutral","Strongly Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Disagree"
"2022/01/09 12:09:29 ÖS GMT+2","Female","22 - 25","EME","Faculty of Education","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Neutral"
"2022/01/09 12:17:11 ÖS GMT+2","Female","18 - 21","MATH","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Neutral","Neutral","Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Agree","Neutral"
"2022/01/09 12:31:44 ÖS GMT+2","Female","18 - 21","ARCH","Faculty of Architecture","Undergraduate","3.00 – 3.49","1000 – 1499","Happy","Moderately Happy","Very Unhappy","Verry Happy","Verry Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree"
